Poll,Date,Sample,MoE,Biden (D),Trump (R),Spread,Month
CNN,1/14 - 1/18,918 RV,3.8,57,40,Biden +17,Jan
LA Times/USC,1/15 - 1/28,4869 RV,2,49,40,Biden +9,Jan
CNN,1/16 - 1/19,1051 RV,3.6,53,44,Biden +9,Jan
PPP (D),1/19 - 1/21,760 RV,3.6,53,41,Biden +12,Jan
FOX News,1/19 - 1/22,1005 RV,3,50,41,Biden +9,Jan
ABC News/Wash Post,1/20 - 1/23,880 RV,4,50,46,Biden +4,Jan
Emerson,1/21 - 1/23,1128 RV,2.8,50,50,Tie,Jan
IBD/TIPP,1/23 - 1/30,856 RV,3.3,49,48,Biden +1,Jan
NBC News/Wall St. Jrnl,1/26 - 1/29,1000 RV,3.1,50,44,Biden +6,Jan
IBD/TIPP,1/3 - 1/11,846 RV,3.3,48,46,Biden +2,Jan
NPR/PBS/Marist,2/13 - 2/16,1164 RV,3.7,50,44,Biden +6,Feb
Emerson,2/14 - 2/16,1000 RV,3.3,55,45,Biden +10,Feb
ABC News/Wash Post,2/14 - 2/17,913 RV,4,52,45,Biden +7,Feb
NBC News/Wall St. Jrnl,2/14 - 2/17,900 RV,3.3,52,44,Biden +8,Feb
Emerson,2/16 - 2/18,1250 RV,2.7,48,52,Trump +4,Feb
CBS News/YouGov,2/20 - 2/22,10000 RV,1.2,47,45,Biden +2,Feb
IBD/TIPP,2/20 - 2/29,839 RV,3.5,49,46,Biden +3,Feb
FOX News,2/23 - 2/26,1000 RV,3,49,41,Biden +8,Feb
Harvard-Harris,2/26 - 2/28,2592 RV,--,55,45,Biden +10,Feb
Quinnipiac,2/5 - 2/9,1519 RV,2.5,50,43,Biden +7,Feb
PPP (D),2/9 - 2/11,687 RV,3.7,51,42,Biden +9,Feb
NBC News/Wall St. Jrnl,3/11 - 3/13,900 RV,3.3,52,43,Biden +9,Mar
Economist/YouGov,3/15 - 3/17,1129 RV,3.5,48,41,Biden +7,Mar
Emerson,3/17 - 3/18,1153 RV,2.8,55,45,Biden +10,Mar
FOX News,3/17 - 3/20,1002 RV,3,47,40,Biden +7,Mar
Rasmussen Reports,3/17 - 3/21,5000 LV,1.5,49,44,Biden +5,Mar
Emerson,3/18 - 3/19,1100 RV,2.9,53,47,Biden +6,Mar
Monmouth,3/18 - 3/22,754 RV,3.6,48,45,Biden +3,Mar
FOX News,3/21 - 3/24,1011 RV,3,49,40,Biden +9,Mar
Economist/YouGov,3/22 - 3/24,1170 RV,3.4,46,42,Biden +4,Mar
ABC News/Wash Post,3/22 - 3/25,845 RV,3.5,49,47,Biden +2,Mar
PPP (D),3/23 - 3/25,846 RV,3.4,56,39,Biden +17,Mar
Harvard-Harris,3/24 - 3/26,2410 RV,2,55,45,Biden +10,Mar
PPP (D),3/27 - 3/28,846 RV,3.4,53,40,Biden +13,Mar
PPP (D),3/27 - 3/28,677 RV,3.8,54,40,Biden +14,Mar
Grinnell/Selzer,3/27 - 3/30,777 LV,3.5,47,43,Biden +4,Mar
Economist/YouGov,3/29 - 3/31,1194 RV,3.2,46,42,Biden +4,Mar
IBD/TIPP,3/29 - 4/1,980 RV,3.2,47,41,Biden +6,Mar
CNN,3/4 - 3/7,1084 RV,3.5,53,43,Biden +10,Mar
Quinnipiac,3/5 - 3/8,1261 RV,2.8,52,41,Biden +11,Mar
Economist/YouGov,3/8 - 3/10,1191 RV,2.9,47,43,Biden +4,Mar
Emerson,4/11 - 4/14,914 RV,3.2,53,47,Biden +6,Apr
Economist/YouGov,4/12 - 4/14,1166 RV,3.4,48,43,Biden +5,Apr
